edate,date,party,partyname,partyabbrev,parfam,coderid,manual,coderyear,testresult,testeditsim,pervote,voteest,presvote,absseat,totseats,progtype,datasetorigin,corpusversion,total,peruncod,per101,per102,per103,per104,per105,per106,per107,per108,per109,per110,per201,per202,per203,per204,per301,per302,per303,per304,per305,per401,per402,per403,per404,per405,per406,per407,per408,per409,per410,per411,per412,per413,per414,per415,per416,per501,per502,per503,per504,per505,per506,per507,per601,per602,per603,per604,per605,per606,per607,per608,per701,per702,per703,per704,per705,per706,per1011,per1012,per1013,per1014,per1015,per1016,per1021,per1022,per1023,per1024,per1025,per1026,per1031,per1032,per1033,per2021,per2022,per2023,per2031,per2032,per2033,per2041,per3011,per3051,per3052,per3053,per3054,per3055,per4011,per4012,per4013,per4014,per4121,per4122,per4123,per4124,per4131,per4132,per5021,per5031,per5041,per5061,per6011,per6012,per6013,per6014,per6061,per6071,per6072,per6081,per7051,per7052,per7061,per7062,per103_1,per103_2,per201_1,per201_2,per202_1,per202_2,per202_3,per202_4,per305_1,per305_2,per305_3,per305_4,per305_5,per305_6,per416_1,per416_2,per601_1,per601_2,per602_1,per602_2,per605_1,per605_2,per606_1,per606_2,per607_1,per607_2,per607_3,per608_1,per608_2,per608_3,per703_1,per703_2,rile,planeco,markeco,welfare,intpeace,datasetversion,id_perm
17-05-46,194605,22210,Communistische Partij van Nederland,CPN,20,326,4,2016,0.94,0.471,10.6,0,,10,100,1,110,2018-2,125,0,0.8,0,4,0.8,3.2,0.8,4,0,0,0,4.8,9.6,0,0.8,0,1.6,1.6,0.8,0,0,2.4,1.6,0.8,0,0,0,0.8,0,0.8,3.2,0.8,0.8,2.4,4,0,0.8,4,4,10.4,0,7.2,0,1.6,0,1.6,0,2.4,0,0,0,7.2,0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34.4,3.2,2.4,14.4,4,2018b,DCQMXK
17-05-46,194605,22320,Partij van de Arbeid (P.v.d.A),PvdA,30,113,0,1982,,,28.314,0,,29,100,1,10,,81,11.1,1.2,0,2.5,0,0,0,3.7,0,0,0,1.2,6.2,0,0,3.7,0,3.7,2.5,0,0,1.2,1.2,2.5,2.5,0,0,1.2,0,0,2.5,1.2,6.2,2.5,0,0,2.5,6.2,3.7,6.2,0,3.7,0,1.2,0,2.5,0,2.5,2.5,3.7,0,0,0,4.9,1.2,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.8,4.9,2.5,9.9,0,2018b,H2U7BY
17-05-46,194605,22420,Partij van de Vrijheid,PvdV,40,113,0,1982,,,6.413,0,,6,100,1,10,,72,6.9,1.4,0,0,1.4,0,0,2.8,0,0,0,4.2,2.8,4.2,0,2.8,0,1.4,2.8,0,8.3,0,2.8,0,1.4,0,2.8,1.4,0,1.4,0,1.4,0,4.2,0,0,0,5.6,9.7,5.6,0,2.8,0,0,0,5.6,0,5.6,1.4,4.2,0,0,0,1.4,2.8,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,4.2,12.5,15.3,0,2018b,AOP8QA
17-05-46,194605,22522,Katholieke Volkspartij (KVP),KVP,50,113,0,1982,,,30.806,0,,32,100,1,10,,151,8.6,2,0,0.7,1.3,0,0.7,2,0,0,0,2.7,3.3,0.7,0,6,0,1.3,0.7,0,2,1.3,0.7,0.7,7.3,0,0,2.7,1.3,2.7,2.7,2,0.7,2.7,0,0,0,1.3,7.9,7.3,0,0,0,2,0,6.6,0,2,0.7,6.6,0,0,0,7.3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,3.4,4.7,15.2,0.7,2018b,VSFCG5
17-05-46,194605,22523,Anti-Revolutionaire Partij,ARP,50,113,0,1982,,,12.901,0,,13,100,1,10,,67,1.5,1.5,0,3,1.5,0,0,0,0,0,0,4.5,0,1.5,0,7.5,0,4.5,0,0,6,3,1.5,0,6,0,0,1.5,0,0,3,0,0,1.5,0,0,0,1.5,4.5,7.5,0,3,0,1.5,0,10.5,0,6,0,6,0,0,0,6,1.5,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,1.5,7.5,12,0,2018b,PJNKSC
17-05-46,194605,22525,Christelijk-Historische Unie,CHU,50,113,0,1982,,,7.84,0,,8,100,1,10,,64,17.5,0,0,4.8,1.6,0,0,0,0,0,0,9.5,3.2,1.6,0,0,1.6,0,0,0,1.6,3.2,0,0,1.6,0,0,4.8,0,1.6,1.6,1.6,0,0,0,0,0,0,3.2,6.4,0,1.6,0,0,0,11.1,0,9.5,1.6,4.8,0,0,0,1.6,1.6,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1,1.6,1.6,9.6,0,2018b,WPEI98
17-05-46,194605,22952,Staatskundig Gereformeerde Partij (SGP),SGP,95,326,4,2016,0.94,0.471,2.138,0,,2,100,1,110,2018-2,50,0,4,0,0,0,2,0,0,0,0,0,0,4,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,0,0,0,0,62,0,2,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,0,0,10,2,2018b,5IZK7H
07-07-48,194807,22210,Communistische Partij van Nederland,CPN,20,331,4,2017,0.81,0.66,7.744,0,,8,100,1,120,2018-2,76,0,1.316,0,2.632,1.316,11.842,1.316,0,0,2.632,0,1.316,3.947,1.316,0,0,0,1.316,1.316,1.316,0,2.632,2.632,3.947,0,2.632,0,1.316,2.632,0,1.316,6.579,0,0,5.263,0,0,3.947,13.158,6.579,0,1.316,0,0,0,0,0,5.263,0,0,0,1.316,0,7.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-31.579,13.158,0,19.737,13.158,2018b,IV29GM
07-07-48,194807,22320,Partij van de Arbeid (P.v.d.A),PvdA,30,113,0,1982,,,25.604,0,,27,100,1,10,,181,7.2,2.2,0,1.1,0.5,0.5,0.5,2.2,1.7,0,0,5,6.6,1.1,0,2.2,0.5,1.1,1.1,1.1,0,3.3,1.1,1.7,3.9,0,0,3.9,1.1,1.1,2.8,2.8,2.2,1.7,0,0,1.7,2.8,5.5,5.5,0,7.7,0,0,0,1.7,0,3.3,0.5,0,0,1.1,0,6.1,0.5,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.8,5.6,1.7,11,1,2018b,YRXKTD
07-07-48,194807,22420,VVD,VVD,40,113,0,1982,,,7.945,0,,8,100,1,10,,25,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,0,12,4,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,4,16,4,0,4,0,0,0,4,0,4,0,8,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,16,20,0,2018b,BYVZ1M
07-07-48,194807,22522,Katholieke Volkspartij (KVP),KVP,50,113,0,1982,,,31.039,0,,32,100,1,10,,62,6.6,3.3,0,1.6,1.6,0,0,4.9,3.3,0,0,0,3.3,0,0,0,1.6,3.3,0,0,4.9,3.3,0,0,1.6,0,0,0,0,4.9,1.6,0,0,1.6,0,0,0,0,6.6,9.8,0,3.3,0,0,0,18,0,0,0,3.3,0,0,0,4.9,3.3,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,0,6.5,16.4,0,2018b,NI3MO7
07-07-48,194807,22523,Anti-Revolutionaire Partij,ARP,50,113,0,1982,,,13.209,0,,13,100,1,10,,147,6.8,2.7,0,2,0.7,0,0,1.4,1.4,0,0,6.1,0.7,1.4,0,4.1,0,1.4,0,0,8.2,4.1,2.7,0,12.2,0,0,0.7,0,1.4,2,2,0,0.7,0,0,0,1.4,4.8,4.8,0,3.4,0,0,0,9.5,0,4.8,0,5.4,0,0,0,2,0.7,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,4.7,8.9,9.6,0,2018b,GFD11T
07-07-48,194807,22525,Christelijk-Historische Unie,CHU,50,113,0,1982,,,9.188,0,,9,100,1,10,,68,16.2,0,0,4.4,1.5,0,0,0,0,0,0,8.8,2.9,1.5,0,0,1.5,1.5,1.5,0,1.5,2.9,0,0,2.9,0,0,4.4,0,1.5,1.5,1.5,0,0,0,0,0,0,2.9,5.9,0,1.5,0,0,0,10.3,0,8.8,1.5,5.9,0,0,0,1.5,1.5,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6,1.5,1.5,8.8,0,2018b,EWZPHE
07-07-48,194807,22952,Staatskundig Gereformeerde Partij (SGP),SGP,95,331,4,2017,0.81,0.66,2.371,0,,2,100,6,120,2018-2,57,0,1.754,0,0,3.509,0,0,0,0,0,0,0,5.263,0,0,5.263,0,1.754,0,0,1.754,0,1.754,0,0,0,0,0,0,0,0,3.509,0,0,0,0,1.754,0,3.509,3.509,10.526,0,3.509,0,0,45.614,0,7.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.386,5.263,1.754,7.018,0,2018b,CPMK5J
25-06-52,195206,22320,Partij van de Arbeid (P.v.d.A),PvdA,30,113,0,1982,,,28.972,0,,30,100,1,10,,137,11,1.5,0,0.7,1.5,0.7,2.2,5.1,0.7,0,0,4.4,2.2,0.7,0,0,0,2.2,0,0,0.7,1.5,0,0.7,0.7,0,0,4.4,1.5,1.5,2.9,4.4,2.9,0.7,0,0,0,5.1,10.2,8.8,0,5.8,0,0.7,0,0.7,0,0,0.7,1.5,0,0.7,0,3.7,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.6,5.1,1.4,19,2.9,2018b,JUCUVQ
25-06-52,195206,22420,VVD,VVD,40,113,0,1982,,,8.828,0,,9,100,1,10,,52,0,9.6,0,1.9,0,0,0,1.9,3.8,0,0,3.8,1.9,0,0,1.9,0,1.9,0,0,17.3,3.8,0,0,1.9,0,1.9,0,1.9,1.9,0,0,0,11.5,0,0,0,3.8,9.6,0,0,1.9,0,0,0,1.9,0,0,0,5.8,0,0,0,1.9,0,1.9,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6,0,28.8,9.6,0,2018b,2YLCVW
25-06-52,195206,22522,Katholieke Volkspartij (KVP),KVP,50,113,0,1982,,,28.665,0,,30,100,1,10,,309,5.1,1.9,0.6,1,1.9,0,0.3,3.5,3.5,0,0,2.6,1.3,0.6,0,2.3,0.3,3.2,0,0,2.9,6.4,1.3,0,2.3,0,1,1,1,1.9,1.6,0.3,0,3.9,0,0,0.6,1.3,5.5,4.8,0,2.3,0,2.3,0,10,0,0,3.5,9,0,0.6,0,4.2,0.6,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,1.6,6.8,10.3,0.9,2018b,JL6FRJ
25-06-52,195206,22523,Anti-Revolutionaire Partij,ARP,50,113,0,1982,,,11.307,0,,12,100,1,10,,161,6.2,1.9,0,1.2,2.5,0,0,1.2,1.9,0,0,2.5,0.6,0.6,0,2.5,0,1.2,0,0,5.6,3.7,1.9,0,4.4,0,1.2,0.6,0.6,2.5,3.1,1.9,0,1.9,0,0,1.2,1.9,3.1,8.7,0,0.6,0.6,0.6,0,11.2,0,3.1,0,9.9,0,1.2,0,5.6,0.6,0.6,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,3.8,7.5,11.8,0,2018b,KQLU9U
25-06-52,195206,22525,Christelijk-Historische Unie,CHU,50,998,998,,,,8.925,0,,9,100,3,10,,62,14.35,1.8,0,2.2,1.65,0,0,1.8,0,0,0,5.3,1.45,0.75,0,0,0.75,4.3,0.75,0,2.55,4.15,0,0,3.25,0,0,4,0,0.75,1.65,0.75,0,1.8,0,0,0,0,4.15,5.65,0,1.65,0,0.9,0,14.1,0,4.4,2.55,3.85,0,0.9,0,3.45,0.75,0.9,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.75,0.75,4.35,9.8,0,2018b,ASCUQ5
13-06-56,195606,22320,Partij van de Arbeid (P.v.d.A),PvdA,30,113,0,1982,,,32.687,0,,50,150,1,10,,288,10.1,0.7,0,1,1.8,0,0.4,2.8,2.4,0,0,3.2,4.6,0,0,0,0,2.4,0,0,1,1.8,2.1,0.4,0.7,0,0,1.4,2.1,1.8,6.6,3.2,1,0,0,0,1,3.8,7,11.9,0,5.2,0,0.7,0,1,0,0,2.1,1.4,4.9,0,0,2.1,0.7,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21,5.7,1,18.9,0.4,2018b,8287W6
13-06-56,195606,22420,VVD,VVD,40,113,0,1982,,,8.774,0,,13,150,1,10,,263,31.6,0.8,0,3.8,0.4,0,0,2.3,1.9,0,0,4.9,0,0,0,0.4,0,2.3,0,0,14.1,1.9,3,0,0.4,0,0.4,3,1.1,0,0.4,0,0,3.8,0,0,0,2.7,3.8,1.9,0,3,0,0,0,0,3.4,0,0,1.1,1.9,1.1,0,1.9,1.1,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,3,17.9,5.7,0,2018b,C36TYZ
13-06-56,195606,22522,Katholieke Volkspartij (KVP),KVP,50,113,0,1982,,,31.693,0,,49,150,1,10,,504,6.1,1.4,0,0.6,1.2,0.2,0.6,2.6,3.8,0,0,1.8,1.2,0.6,0,2.8,0,2.4,0,0.2,2.6,6.6,0.8,0,2.2,0.2,1.2,1.2,0.6,2.4,4.2,0.4,0,2.6,0,0,0.8,2.6,4.2,7.5,0,5.4,0,1.6,0,8.7,0,0,1.6,7.5,0,0.6,0,3,0.8,0.2,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,1.2,5.2,11.7,0.8,2018b,AEOK8O
13-06-56,195606,22523,Anti-Revolutionaire Partij,ARP,50,113,0,1982,,,9.909,0,,15,150,1,10,,199,5.5,2.5,0,1,1.5,0,0,2,0.5,0,0,1,2,0,0,1,0,4,0,0,5.5,4.5,2.5,0,4.5,0,1,0.5,2,2,5.5,1.5,0,4.5,0,0,2,1.5,1.5,7.5,0,3,0,0.5,0,9.5,0,0.5,0,9,0,0.5,0,4,0,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,4,10,9,0,2018b,I8SBCU
13-06-56,195606,22525,Christelijk-Historische Unie,CHU,50,113,0,1982,,,8.431,0,,13,150,1,10,,56,12.5,3.6,0,0,1.8,0,0,3.6,0,0,0,1.8,0,0,0,0,0,7.1,0,0,3.6,5.4,0,0,3.6,0,0,3.6,0,0,1.8,0,0,3.6,0,0,0,0,5.4,5.4,0,1.8,0,1.8,0,17.9,0,0,3.6,1.8,0,1.8,0,5.4,0,1.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9,0,7.2,10.8,0,2018b,5LLTLO
12-03-59,195903,22320,Partij van de Arbeid (P.v.d.A),PvdA,30,113,0,1982,,,30.357,0,,48,150,1,10,,74,20.3,1.3,0,1.3,0,2.7,2.7,1.3,0,0,0,2.7,1.3,0,0,0,0,1.3,0,0,2.7,0,2.7,1.3,0,0,0,6.8,0,0,8.1,0,0,1.3,0,0,0,4.1,2.7,10.8,0,9.5,0,0,0,0,0,0,0,0,0,1.3,0,5.4,2.7,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28.2,4,4,13.5,5.4,2018b,CJ1FJT
12-03-59,195903,22420,VVD,VVD,40,113,0,1982,,,12.212,0,,19,150,1,10,,330,24.2,0.6,0.6,2.4,1.5,0,0,1.2,0.6,0,0,0.3,0.3,0.6,0,0.6,0,1.5,0,0.6,11.8,7,4.2,0,1.8,0.6,2.1,0.9,6.4,0.6,1.2,0.6,0,6.4,0,0,0,0.9,6.4,3.9,0,0.6,0,0,0,0,0.3,0,1.5,1.5,0,0.6,0,4.2,0.3,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4,4.8,18.2,10.3,0.6,2018b,JI8ZGC
12-03-59,195903,22522,Katholieke Volkspartij (KVP),KVP,50,113,0,1982,,,31.601,0,,49,150,1,10,,77,10.4,1.3,0,2.6,1.3,0,1.3,1.3,1.3,0,0,1.3,2.6,0,0,0,0,0,0,0,11.7,2.6,0,0,2.6,0,0,3.9,0,1.3,1.3,0,0,1.3,0,0,1.3,3.9,2.6,18.2,0,3.9,0,0,0,2.6,0,0,5.2,1.3,0,5.2,0,2.6,1.3,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.1,0,13,20.8,1.3,2018b,PDG4P9
12-03-59,195903,22523,Anti-Revolutionaire Partij,ARP,50,113,0,1982,,,9.386,0,,14,150,1,10,,142,4.9,4.9,0,0.7,2.8,0,0,1.4,0.7,0,0,0,1.4,0.7,0,0,0,1.4,0,0,6.3,8.5,2.1,0,2.1,0,0,4.2,0.7,0.7,6.3,2.8,0,6.3,0,0,0,2.1,5.6,4.9,0,1.4,0,0.7,0,5.6,0,0.7,0.7,7,0,0.7,0,6.3,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,4.9,12.6,10.5,0,2018b,ZZY3DK
12-03-59,195903,22525,Christelijk-Historische Unie,CHU,50,113,0,1982,,,8.108,0,,12,150,1,10,,64,18.8,0,0,1.6,1.6,0,0,1.6,1.6,0,0,0,0,0,0,0,0,0,0,1.6,3.1,3.1,0,0,3.1,0,0,3.1,0,0,4.7,0,0,1.6,0,0,0,1.6,4.7,6.3,0,0,0,1.6,0,15.6,0,0,0,3.1,1.6,4.7,0,7.8,0,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,4.7,11,0,2018b,CM9FQ1
15-05-63,196305,22320,Partij van de Arbeid (P.v.d.A),PvdA,30,113,0,1982,,,28.011,0,,43,150,1,10,,179,16.3,1.1,0.6,1.1,3.4,0,6.7,6.2,2.3,0,0,2.3,3.9,0.6,0,1.1,0,1.7,0,0,0.6,0.6,1.7,1.1,0,0,0,1.1,0,1.1,6.2,1.7,1.1,0.6,0,0,0.6,3.4,8.4,12.4,0,3.4,0,0.6,0,0,0,0,1.7,1.1,1.1,1.7,0,0.6,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-30.6,4.5,1.2,20.8,7.3,2018b,NXU2R6
15-05-63,196305,22420,VVD,VVD,40,113,0,1982,,,10.287,0,,16,150,1,10,,506,16.4,1.4,0,0.2,4.1,0.4,0.4,2,2.6,0,0,1.6,2.6,0.4,0,3.9,0,0.2,0,0,10.7,5.1,2.8,0.6,1.6,0,0.4,0.4,2.4,0,3.6,1,0.2,3.9,0,0,1.6,4.9,4.7,5.7,0,1.4,0,0,0,0,0.2,0.6,0.6,2.2,1,0.4,0,3.9,0.6,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,4.4,14.6,10.4,0.8,2018b,VJ8CJ4
15-05-63,196305,22522,Katholieke Volkspartij (KVP),KVP,50,113,0,1982,,,31.882,0,,50,150,1,10,,114,5.3,0.9,0,0.9,3.5,0,0.9,6.1,3.5,0,0,0.9,1.8,0,0,0,0,0,0,0,7,2.6,0,0.9,1.8,0,0,2.6,1.8,0.9,4.4,0,0,4.4,0,0,0,7,6.1,20.2,0,3.5,0,0,0,2.6,0,0,2.6,1.8,0,2.6,0,0.9,1.8,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.3,0.9,11.4,26.3,0.9,2018b,GF7R5X
